code	name	placeName	Longitude	Latitude	num_accessible_stations_30m	num_accessible_stations_45m	num_accessible_stations_60m
9400ZZLUBNK	Bank Underground Station	Bank	-0.08895	51.51342	393	761	978
9400ZZLULNB	London Bridge Underground Station	London Bridge	-0.08887	51.50573	384	752	969
9400ZZLUWLO	Waterloo Underground Station	Waterloo	-0.11478	51.5033	384	764	964
9400ZZLUGPK	Green Park Underground Station	Green Park	-0.14278	51.50695	384	767	967
9400ZZLUWSM	Westminster Underground Station	Westminster	-0.12486	51.50132	375	767	962
9400ZZLUOXC	Oxford Circus Underground Station	Oxford Circus	-0.1419	51.51523	369	764	970
9400ZZLUSWK	Southwark Underground Station	Southwark	-0.10493	51.50398	366	747	965
9400ZZLUBND	Bond Street Underground Station	Bond Street	-0.14972	51.51431	363	750	960
9400ZZLUMGT	Moorgate Underground Station	Moorgate	-0.08832	51.51818	362	746	966
9400ZZLUTCR	Tottenham Court Road Underground Station	Tottenham Court Road	-0.13041	51.51643	359	753	965
9400ZZLUKSX	King's Cross St. Pancras Underground Station	King's Cross	-0.12319	51.53067	359	738	953
9400ZZLUVIC	Victoria Underground Station	Victoria	-0.1431	51.49636	358	745	958
9400ZZLUEMB	Embankment Underground Station	Embankment	-0.12266	51.50706	356	744	951
9400ZZLUEUS	Euston Underground Station	Euston	-0.13378	51.528	356	730	948
9400ZZLULSQ	Leicester Square Underground Station	Leicester Square	-0.12842	51.51139	354	745	957
9400ZZLULVT	Liverpool Street Underground Station	Liverpool Street	-0.08318	51.51738	351	721	954
9400ZZLUWRR	Warren Street Underground Station	Warren Street	-0.13832	51.52496	351	735	956
9100WATRLMN	London Waterloo Rail Station	Waterloo	-0.1131	51.5033	350	731	962
9400ZZLUHBN	Holborn Underground Station	Holborn	-0.12047	51.51758	350	737	950
9400ZZLUODS	Old Street Underground Station	Old Street	-0.08776	51.52587	349	740	955
9400ZZLUSPU	St. Paul's Underground Station	St Pauls	-0.09756	51.51494	348	732	949
9400ZZLUGDG	Goodge Street Underground Station	Goodge Street	-0.13436	51.5206	348	725	951
9400ZZLUCHX	Charing Cross Underground Station	Charing Cross	-0.12727	51.50741	347	741	953
9100LNDNBDE	London Bridge Rail Station	London Bridge	-0.08608	51.50511	344	705	945
9400ZZLUCHL	Chancery Lane Underground Station	Chancery Lane	-0.11158	51.51825	341	727	947
9400ZZDLBNK	Bank DLR Station	City of London	-0.08851	51.51324	339	722	945
9400ZZLUPCC	Piccadilly Circus Underground Station	Piccadilly Circus	-0.13379	51.51005	338	738	952
9100LNDNBDC	London Bridge Rail Station	London Bridge	-0.08609	51.50502	334	700	939
9400ZZLUBMY	Bermondsey Underground Station	Bermondsey	-0.06376	51.49796	329	715	950
9400ZZLUMBA	Marble Arch Underground Station	Marble Arch	-0.15895	51.51343	329	722	943
9400ZZLUAGL	Angel Underground Station	Angel	-0.10538	51.53177	329	721	938
9400ZZLUBST	Baker Street Underground Station	Marylebone	-0.15713	51.52289	328	718	945
9400ZZLUCGN	Covent Garden Underground Station	Covent Garden	-0.12443	51.5131	324	716	943
9400ZZLUBOR	Borough Underground Station	The Borough	-0.09336	51.5012	324	703	933
9100VICTRIC	London Victoria Rail Station	Victoria	-0.14455	51.49526	324	709	954
9400ZZLUMTC	Mornington Crescent Underground Station	Mornington Crescent	-0.13878	51.53468	322	691	929
9400ZZLUCWR	Canada Water Underground Station	Canada Water	-0.04972	51.49795	322	700	934
9100CANONST	London Cannon Street Rail Station	Cannon Street	-0.09029	51.51139	320	694	941
9100KNGX	London Kings Cross Rail Station	King's Cross	-0.12292	51.53089	319	683	929
9400ZZLUBBN	Barbican Underground Station	Barbican	-0.09799	51.52028	317	712	936
9400ZZLURSQ	Russell Square Underground Station	Russell Square	-0.12428	51.52308	314	686	923
9400ZZLUSJP	St. James's Park Underground Station	St James's Park	-0.1336	51.49955	313	718	944
9100MRGT	Moorgate Rail Station	Moorgate	-0.08894	51.5185	312	692	921
9100BLFR	London Blackfriars Rail Station	Blackfriars	-0.10333	51.51181	309	691	922
9100EUSTON	London Euston Rail Station	Euston	-0.13392	51.52814	309	678	919
9400ZZLUEAC	Elephant & Castle Underground Station	Elephant & Castle	-0.1006	51.49454	308	694	928
9400ZZLUKNG	Kennington Underground Station	Kennington	-0.10596	51.48834	308	703	929
9100VICTRIE	London Victoria Rail Station	Victoria	-0.14454	51.49526	307	700	948
9400ZZLUCST	Cannon Street Underground Station	Cannon Street	-0.09043	51.51151	307	684	926
9100LIVST	London Liverpool Street Rail Station	Liverpool Street	-0.08142	51.518	306	660	921
9400ZZLUFCN	Farringdon Underground Station	Farringdon	-0.10491	51.52026	304	695	934
9400ZZLUESQ	Euston Square Underground Station	Euston Square	-0.13582	51.52561	303	686	937
9400ZZLUHAI	Highbury & Islington Underground Station	Highbury & Islington	-0.10332	51.54636	303	646	912
9400ZZLULGT	Lancaster Gate Underground Station	Lancaster Gate	-0.17549	51.51173	303	682	925
9100STPADOM	London St Pancras International Rail Station	St Pancras	-0.12646	51.53252	303	651	932
9100OLDST	Old Street Rail Station	Old Street	-0.08853	51.52584	302	690	921
9400ZZLUHPC	Hyde Park Corner Underground Station	Hyde Park Corner	-0.15244	51.50304	302	702	929
9100CLPHMJM	Clapham Junction Rail Station	Clapham Junction	-0.17026	51.46419	298	649	920
9400ZZLUTMP	Temple Underground Station	Temple	-0.11426	51.51101	297	697	930
9400ZZLURGP	Regent's Park Underground Station	Regent's Park	-0.14644	51.52335	297	709	938
9400ZZLUTWH	Tower Hill Underground Station	Tower Hill	-0.07654	51.50998	295	675	913
9400ZZLUMSH	Mansion House Underground Station	Mansion House	-0.094	51.51212	293	681	921
9100CHRX	London Charing Cross Rail Station	Charing Cross	-0.1248	51.50803	293	704	939
9400ZZLUALD	Aldgate Underground Station	Aldgate	-0.07568	51.51425	293	671	920
9100STPXBOX	London St Pancras International LL Rail Station	St Pancras	-0.12734	51.53217	293	651	912
9400ZZLUBLG	Bethnal Green Underground Station	Bethnal Green	-0.0555	51.52723	293	642	908
9400ZZLUMMT	Monument Underground Station	Monument	-0.08596	51.5107	292	677	924
9100VAUXHLM	Vauxhall Rail Station	Vauxhall	-0.12289	51.48619	292	668	930
9400ZZLUNHG	Notting Hill Gate Underground Station	Notting Hill	-0.1961	51.50913	290	665	919
9400ZZLUQWY	Queensway Underground Station	Queensway	-0.18715	51.51032	290	656	915
9400ZZLUGPS	Great Portland Street Underground Station	Great Portland Street	-0.14426	51.52384	289	665	926
9100WLOE	London Waterloo East Rail Station	Waterloo	-0.10889	51.50408	289	699	936
9400ZZLUBKF	Blackfriars Underground Station	Blackfriars	-0.10365	51.51159	288	692	928
9400ZZLULBN	Lambeth North Underground Station	Lambeth North	-0.11231	51.49881	288	683	925
9400ZZDLSHA	Shadwell DLR Station	Shadwell	-0.05664	51.5117	286	649	906
9100ESSEXRD	Essex Road Rail Station	Islington	-0.09627	51.54071	285	643	903
9100CLPHMJC	Clapham Junction Rail Station	Clapham Junction	-0.17028	51.46419	285	636	915
9100FRNDNLT	Farringdon (London) Rail Station	Clerkenwell	-0.1052	51.52017	284	668	913
9400ZZLUCYF	Canary Wharf Underground Station	Canary Wharf	-0.01824	51.50349	284	645	908
9400ZZLUPCO	Pimlico Underground Station	Pimlico	-0.13376	51.4891	283	694	935
9400ZZLUMYB	Marylebone Underground Station	Marylebone	-0.1632	51.52233	283	663	924
9400ZZLUKNB	Knightsbridge Underground Station	Knightsbridge	-0.1605	51.50167	282	685	919
9100HGHI	Highbury & Islington Rail Station	Highbury	-0.10376	51.54618	282	628	898
9400ZZLUCTN	Camden Town Underground Station	Camden Town	-0.14274	51.5393	282	642	909
9400ZZLUVXL	Vauxhall Underground Station	Vauxhall	-0.1242	51.48575	281	678	932
9400ZZLUERC	Edgware Road (Circle Line) Underground Station	Edgware Road	-0.16783	51.51986	277	647	917
9100SURREYQ	Surrey Quays Rail Station	Surrey Quays	-0.04751	51.4932	277	624	886
9400ZZLUSKW	Stockwell Underground Station	Stockwell	-0.12264	51.47219	276	660	912
9400ZZLUSSQ	Sloane Square Underground Station	Sloane Square	-0.15637	51.49227	275	685	925
9100STPX	London St Pancras International Rail Station	St Pancras	-0.12718	51.5324	275	630	909
9100CNDAW	Canada Water Rail Station	Canada Water	-0.04971	51.49799	274	636	899
9100HIGHBYA	Highbury & Islington Rail Station	Highbury	-0.10376	51.54609	274	600	892
9400ZZLUMED	Mile End Underground Station	Mile End	-0.03363	51.52513	271	577	883
9100CLPHMJ1	Clapham Junction Rail Station	Clapham Junction	-0.17022	51.46419	271	624	901
9100NEWXGTE	New Cross Gate Rail Station	New Cross Gate/Sth Bermondsey	-0.04039	51.47513	269	598	880
9100CNNB	Canonbury Rail Station	Canonbury	-0.09219	51.54874	269	582	873
9100DRYP	Drayton Park Rail Station	Highbury	-0.1055	51.55278	267	604	891
9100BATRSPK	Battersea Park Rail Station	Battersea	-0.14753	51.47696	266	644	926
9400ZZDLLIM	Limehouse DLR Station	Limehouse	-0.0398	51.5124	266	614	888
9400ZZLUNGW	North Greenwich Underground Station	North Greenwich	0.0043	51.50047	264	609	890
9100RTHERHI	Rotherhithe Rail Station	Rotherhithe/Surrey Quays	-0.05204	51.50082	263	622	887
9400ZZLUCFM	Chalk Farm Underground Station	Chalk Farm	-0.15338	51.54412	263	616	894
9100CTMSLNK	City Thameslink Rail Station	City of London	-0.10358	51.51394	262	637	898
9400ZZLUOVL	Oval Underground Station	Oval	-0.11243	51.48185	261	644	901
9400ZZLUGTR	Gloucester Road Underground Station	Gloucester Road	-0.18265	51.49432	260	642	910
9100KNTSHTN	Kentish Town Rail Station	Kentish Town	-0.14036	51.5505	260	606	890
9400ZZLUSKS	South Kensington Underground Station	South Kensington	-0.17414	51.4941	259	658	912
9400ZZLUCAR	Caledonian Road Underground Station	Caledonian Road	-0.11849	51.54852	259	604	892
9100STFODOM	Stratford International Rail Station	Stratford	-0.00877	51.54483	258	547	871
9400ZZDLEIN	East India DLR Station	East India	-0.00232	51.50936	258	528	853
9100CLPHMJW	Clapham Junction Rail Station	Clapham Junction	-0.17025	51.46419	257	625	901
9400ZZLUHPK	Holland Park Underground Station	Holland Park	-0.20568	51.50715	256	625	898
9400ZZDLCGT	Canning Town DLR Station	Canning Town	0.00811	51.51413	256	553	860
9400ZZLUSJW	St. John's Wood Underground Station	St Johns Wood	-0.17395	51.53453	255	643	909
9400ZZLUCGT	Canning Town Underground Station	Canning Town	0.00833	51.51359	255	587	880
9100SHADWEL	Shadwell Rail Station	Shadwell	-0.05693	51.51129	255	601	871
9400ZZLUFPK	Finsbury Park Underground Station	Finsbury Park	-0.10682	51.56416	255	584	888
9400ZZLUERB	Edgware Road (Bakerloo) Underground Station	Edgware Road	-0.17015	51.5203	255	632	911
9100STFD	Stratford (London) Rail Station	Stratford	-0.00339	51.5419	254	508	839
9100WAPPING	Wapping Rail Station	Wapping	-0.05592	51.50439	253	594	875
9100MARYLBN	London Marylebone Rail Station	Marylebone	-0.16291	51.52253	253	605	906
9100FNPK	Finsbury Park Rail Station	Finsbury Park	-0.10628	51.56431	253	574	876
9400ZZLUSTD	Stratford Underground Station	Stratford	-0.00345	51.54181	253	523	848
9400ZZLUKSH	Kentish Town Underground Station	Kentish Town	-0.14073	51.55032	253	600	892
9100NWCROSS	New Cross Rail Station	New Cross	-0.03242	51.47635	253	586	874
9400ZZLUPAC	Paddington Underground Station	Paddington	-0.17569	51.51659	252	617	914
9400ZZDLTWG	Tower Gateway DLR Station	Tower Gateway	-0.07481	51.51062	252	610	881
9100ELPHNAC	Elephant & Castle Rail Station	Elephant & Castle	-0.09872	51.49403	252	621	891
9400ZZDLPOP	Poplar DLR Station	Poplar	-0.01738	51.50775	251	557	856
9400ZZDLBLA	Blackwall DLR Station	South Bromley	-0.00696	51.50799	251	530	844
9400ZZDLWFE	Westferry DLR Station	Westferry	-0.02674	51.50944	249	573	869
9400ZZLUHSK	High Street Kensington Underground Station	High Street Kensington	-0.19279	51.50106	248	631	911
9400ZZLUWPL	Whitechapel Underground Station	Whitechapel	-0.05996	51.51952	247	562	861
9400ZZLUADE	Aldgate East Underground Station	Aldgate East	-0.07238	51.51504	246	601	882
9100WCHAPEL	Whitechapel Rail Station	Whitechapel	-0.05975	51.51947	246	560	852
9400ZZDLSTD	Stratford DLR Station	Stratford	-0.00328	51.54176	245	511	839
9400ZZLUHWY	Holloway Road Underground Station	Holloway Road	-0.11324	51.5527	244	576	884
9400ZZDLPUD	Pudding Mill Lane DLR Station	Pudding Mill Lane	-0.01414	51.53413	244	516	839
9100PCKHMQD	Queens Road Peckham Rail Station	Peckham	-0.05731	51.47357	242	588	865
9100DALS	Dalston Junction Rail Station	Kingsland	-0.07513	51.54612	241	537	844
9100CLDNNRB	Caledonian Road & Barnsbury Rail Station	Barnsbury	-0.11672	51.54305	240	556	864
9400ZZLUWHM	West Ham Underground Station	West Ham	0.00506	51.52814	240	553	856
